t_ms,qw,qx,qy,qz,ax,ay,az,gx,gy,gz,mx,my,mz
307831,0.741732,-0.060862,-0.124327,0.656256,0.105225,-0.255737,0.968262,-0.001065,0.004261,0.001065,0.000000,0.000000,0.000000
307843,0.741732,-0.060862,-0.124327,0.656256,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
307853,0.741599,-0.061785,-0.124654,0.656259,0.104492,-0.256470,0.966675,0.000000,0.004261,0.000000,0.000000,0.000000,0.000000
307865,0.741722,-0.061148,-0.123936,0.656315,0.104492,-0.256714,0.968140,0.000000,0.003196,0.000000,0.000000,0.000000,0.000000
307877,0.741611,-0.061721,-0.124696,0.656243,0.104370,-0.255615,0.967529,0.000000,0.004261,0.000000,0.000000,0.000000,0.000000
307889,0.741684,-0.061535,-0.123750,0.656357,0.103638,-0.255615,0.968262,0.000000,0.002131,0.001065,0.000000,0.000000,0.000000
307901,0.741372,-0.061799,-0.123283,0.656772,0.103027,-0.255493,0.966797,-0.002131,0.004261,0.002131,-8.000000,-27.000000,23.000000
307914,0.741392,-0.061302,-0.124109,0.656640,0.105103,-0.255615,0.967529,0.000000,0.003196,0.001065,0.000000,0.000000,0.000000
307926,0.741517,-0.060318,-0.124157,0.656582,0.105469,-0.254272,0.968140,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
307936,0.741387,-0.061130,-0.124690,0.656552,0.105469,-0.255859,0.968506,-0.001065,0.004261,0.000000,0.000000,0.000000,0.000000
307948,0.741286,-0.062079,-0.124374,0.656637,0.104736,-0.256226,0.967285,-0.001065,0.002131,-0.001065,0.000000,0.000000,0.000000
307960,0.741408,-0.061113,-0.124504,0.656566,0.105225,-0.255981,0.968750,0.000000,0.003196,0.000000,0.000000,0.000000,0.000000
307972,0.741345,-0.061892,-0.123860,0.656685,0.104126,-0.255615,0.966797,-0.002131,0.004261,0.000000,0.000000,0.000000,0.000000
307984,0.741469,-0.060939,-0.124006,0.656608,0.104126,-0.255249,0.968140,-0.002131,0.004261,-0.001065,0.000000,0.000000,0.000000
307996,0.741160,-0.061169,-0.123592,0.657012,0.104492,-0.255249,0.967163,-0.001065,0.004261,-0.001065,-8.000000,-27.000000,20.000000
308009,0.741175,-0.060725,-0.124446,0.656875,0.106323,-0.255371,0.967773,0.000000,0.003196,0.000000,0.000000,0.000000,0.000000
308021,0.741091,-0.061068,-0.125338,0.656769,0.105835,-0.255859,0.965698,-0.002131,0.004261,-0.001065,0.000000,0.000000,0.000000
308033,0.741206,-0.060573,-0.124519,0.656840,0.105957,-0.255737,0.968140,-0.001065,0.004261,-0.001065,0.000000,0.000000,0.000000
308045,0.741102,-0.061537,-0.124247,0.656919,0.104370,-0.255981,0.968140,0.000000,0.003196,-0.001065,0.000000,0.000000,0.000000
308057,0.741241,-0.060681,-0.123809,0.656926,0.104248,-0.255493,0.968384,0.000000,0.005326,0.000000,0.000000,0.000000,0.000000
308069,0.741119,-0.061689,-0.123746,0.656980,0.102905,-0.255371,0.966675,-0.001065,0.006392,0.000000,0.000000,0.000000,0.000000
308081,0.741222,-0.060781,-0.124091,0.656884,0.104248,-0.255371,0.968994,0.000000,0.004261,0.000000,0.000000,0.000000,0.000000
308093,0.740889,-0.061011,-0.123562,0.657338,0.103516,-0.256592,0.968506,-0.001065,0.002131,0.001065,-12.000000,-26.000000,24.000000
308106,0.740910,-0.060513,-0.124390,0.657205,0.104858,-0.255005,0.969360,-0.002131,0.003196,0.001065,0.000000,0.000000,0.000000
308118,0.740858,-0.061238,-0.123682,0.657329,0.104248,-0.254761,0.967529,-0.001065,0.005326,0.000000,0.000000,0.000000,0.000000
308130,0.740936,-0.060450,-0.124255,0.657207,0.105469,-0.254761,0.968872,0.000000,0.003196,-0.001065,0.000000,0.000000,0.000000
308142,0.740810,-0.061440,-0.124314,0.657245,0.104370,-0.255737,0.967773,-0.001065,0.002131,-0.001065,0.000000,0.000000,0.000000
308154,0.740934,-0.060473,-0.124397,0.657180,0.104614,-0.255859,0.968506,-0.001065,0.003196,0.000000,0.000000,0.000000,0.000000
308166,0.740802,-0.061445,-0.124561,0.657207,0.104858,-0.255615,0.967285,0.000000,0.003196,0.000000,0.000000,0.000000,0.000000
308178,0.740920,-0.060483,-0.124743,0.657130,0.105957,-0.255859,0.969360,0.001065,0.003196,0.000000,0.000000,0.000000,0.000000
308190,0.740605,-0.060730,-0.124260,0.657553,0.104858,-0.256958,0.968018,0.000000,0.004261,0.000000,-9.000000,-26.000000,22.000000
308203,0.740478,-0.061561,-0.124765,0.657522,0.104614,-0.256470,0.967651,-0.001065,0.005326,-0.001065,0.000000,0.000000,0.000000
308215,0.740610,-0.060878,-0.124091,0.657566,0.104370,-0.255249,0.967041,0.000000,0.004261,-0.001065,0.000000,0.000000,0.000000
308227,0.740521,-0.061266,-0.124954,0.657467,0.104858,-0.255981,0.968872,0.000000,0.004261,-0.001065,0.000000,0.000000,0.000000
308239,0.740460,-0.062033,-0.124290,0.657588,0.102905,-0.256958,0.967407,0.000000,0.005326,0.000000,0.000000,0.000000,0.000000
308251,0.740580,-0.061434,-0.123541,0.657651,0.103149,-0.256592,0.968750,0.000000,0.003196,0.000000,0.000000,0.000000,0.000000
308263,0.740502,-0.061637,-0.124481,0.657542,0.103760,-0.256348,0.967896,-0.002131,0.001065,0.001065,0.000000,0.000000,0.000000
308274,0.740619,-0.060679,-0.124560,0.657485,0.104736,-0.256470,0.969238,-0.004261,0.002131,0.002131,0.000000,0.000000,0.000000
308286,0.740492,-0.061684,-0.124533,0.657540,0.104370,-0.256470,0.967773,0.000000,0.006392,0.001065,0.000000,0.000000,0.000000
308298,0.740173,-0.061889,-0.124130,0.657956,0.105957,-0.256470,0.968628,0.001065,0.005326,0.001065,-9.000000,-29.000000,20.000000
308311,0.740235,-0.061168,-0.124782,0.657830,0.106201,-0.256104,0.967041,0.000000,0.003196,0.000000,0.000000,0.000000,0.000000
308323,0.740356,-0.060205,-0.124856,0.657769,0.105835,-0.255737,0.968262,-0.002131,0.003196,0.001065,0.000000,0.000000,0.000000
308335,0.740290,-0.060989,-0.124235,0.657888,0.104736,-0.255127,0.967163,-0.001065,0.002131,0.000000,0.000000,0.000000,0.000000
308347,0.740392,-0.060071,-0.124581,0.657793,0.105591,-0.255127,0.968994,0.002131,0.003196,0.000000,0.000000,0.000000,0.000000
308359,0.740269,-0.061065,-0.124535,0.657848,0.104248,-0.256104,0.966797,0.001065,0.004261,0.000000,0.000000,0.000000,0.000000
308371,0.740135,-0.061987,-0.124861,0.657850,0.104126,-0.257324,0.967407,0.000000,0.004261,0.000000,0.000000,0.000000,0.000000
308383,0.740273,-0.061203,-0.124305,0.657874,0.104004,-0.256714,0.967041,0.000000,0.003196,-0.001065,0.000000,0.000000,0.000000
308395,0.739970,-0.061437,-0.123885,0.658273,0.105713,-0.256348,0.968750,0.000000,0.004261,0.000000,-7.000000,-26.000000,20.000000
308408,0.739928,-0.061390,-0.124831,0.658145,0.105591,-0.257446,0.966553,0.001065,0.003196,0.000000,0.000000,0.000000,0.000000
308420,0.739993,-0.060647,-0.125466,0.658020,0.105957,-0.256714,0.967773,0.000000,0.002131,0.000000,0.000000,0.000000,0.000000
308432,0.740007,-0.060940,-0.124535,0.658154,0.103027,-0.255005,0.968384,-0.002131,0.002131,0.000000,0.000000,0.000000,0.000000
308444,0.740063,-0.060875,-0.123578,0.658278,0.103760,-0.255005,0.970215,-0.003196,0.003196,0.002131,0.000000,0.000000,0.000000
308456,0.740011,-0.060945,-0.124514,0.658153,0.104126,-0.255127,0.968262,-0.001065,0.007457,0.000000,0.000000,0.000000,0.000000
308468,0.740143,-0.059982,-0.124484,0.658099,0.106323,-0.254395,0.969116,0.000000,0.006392,0.000000,0.000000,0.000000,0.000000
308480,0.740026,-0.060610,-0.125197,0.658038,0.106079,-0.255249,0.967041,0.001065,0.003196,0.000000,0.000000,0.000000,0.000000
308492,0.739726,-0.060851,-0.124756,0.658436,0.106323,-0.256104,0.968018,0.001065,0.002131,0.001065,-7.000000,-28.000000,23.000000
308505,0.739607,-0.061458,-0.125492,0.658374,0.105225,-0.257080,0.966187,0.000000,0.003196,0.001065,0.000000,0.000000,0.000000
308517,0.739737,-0.060675,-0.124935,0.658406,0.105591,-0.257080,0.968140,0.000000,0.002131,0.001065,0.000000,0.000000,0.000000
308529,0.739609,-0.061672,-0.124960,0.658453,0.104126,-0.257568,0.967163,-0.002131,0.002131,0.000000,0.000000,0.000000,0.000000
308541,0.739747,-0.060769,-0.124635,0.658443,0.105347,-0.255615,0.968872,-0.001065,0.004261,0.000000,0.000000,0.000000,0.000000
